ID,bw,SEX,al,bl,cl,ch
SS1113,43.5,,112.81,196.43,58.63,32.02
SS1114,43.7,,102.85,184.29,57.57,
SS1115,39.6,1.0,107.2,179.37,,
SS1116,48.6,1.0,,203.26,57.89,34.71
SS1117,43.0,1.0,111.25,194.29,57.94,35.66
SS1118,41.4,1.0,103.87,194.82,64.72,36.71
SS1119,55.5,0.0,119.57,211.76,,36.86
SS111,67.2,1.0,118.46,204.9,54.92,36.44
SS1120,54.5,0.0,116.12,197.0,53.39,34.68
SS1121,50.0,1.0,112.06,,58.36,36.69
SS1122,41.5,1.0,112.99,191.72,53.41,33.51
SS1123,67.9,0.0,123.97,219.18,66.28,38.51
SS1124,46.2,1.0,118.18,,57.69,36.71
SS1125,55.9,,118.53,210.67,63.66,33.85
SS1126,45.1,,118.95,197.12,53.01,34.05
SS1127,,1.0,,,62.63,39.5
SS1128,43.8,1.0,114.96,193.54,53.1,31.76
SS1129,52.7,0.0,125.83,206.98,56.8,
SS112,56.8,,115.2,,,32.72
SS1130,51.6,0.0,118.72,205.66,61.96,33.47
SS1131,,,120.73,211.71,62.74,32.43
SS1132,45.1,1.0,114.31,191.87,51.81,33.37
SS1133,43.9,0.0,103.9,183.94,53.58,34.95
SS1134,58.5,1.0,117.96,,56.57,35.66
SS1135,36.8,1.0,101.72,172.89,46.02,33.73
SS1136,44.6,,113.97,195.27,55.66,32.87
SS1137,42.4,1.0,114.38,200.54,55.6,32.69
SS1138,59.8,0.0,115.35,206.52,,37.53
SS1139,50.2,1.0,,197.19,58.43,37.66
SS113,62.3,1.0,122.45,199.45,,
SS1140,56.4,0.0,121.06,203.57,,
SS1141,56.8,0.0,125.41,215.93,58.65,36.13
SS1142,,,117.09,201.21,57.59,33.76
SS1143,43.3,,109.93,183.72,46.53,34.48
SS1144,39.7,1.0,109.99,,52.02,33.23
SS1145,38.2,0.0,107.54,,54.25,31.76
SS1146,,1.0,,,,34.8
SS1147,51.4,1.0,117.04,204.17,59.58,36.11
SS1148,36.3,1.0,,178.62,50.71,34.02
SS1149,51.7,0.0,120.82,203.68,,32.67
SS114,59.8,1.0,,211.81,55.33,32.91
SS1150,57.0,0.0,,212.27,56.03,35.09
SS1151,70.2,0.0,124.94,218.29,68.64,39.37
SS1152,52.6,1.0,115.69,,,37.05
SS1154,,1.0,112.65,210.87,65.6,36.41
SS1155,58.0,1.0,122.68,212.73,62.99,
SS1156,45.2,1.0,110.91,187.04,49.27,32.57
SS1157,52.2,1.0,111.0,194.46,54.0,35.3
SS1158,53.4,1.0,124.96,206.38,57.14,35.09
SS1159,36.8,1.0,105.22,187.2,54.8,31.37
SS115,57.2,1.0,119.73,209.86,,
SS1160,,1.0,129.16,214.02,,32.6
SS1161,40.8,1.0,,,61.78,34.67
SS1162,47.9,1.0,119.31,207.32,59.08,32.9
SS1163,42.0,1.0,113.06,192.43,55.75,32.43
SS1164,,0.0,129.91,,66.81,36.92
SS1165,,1.0,112.72,191.2,53.64,31.34
SS1166,39.2,1.0,110.17,188.69,49.61,29.92
SS1167,59.1,,123.16,213.27,,36.66
SS1168,,0.0,120.13,196.51,,35.15
SS1169,37.1,1.0,115.03,192.42,51.51,28.8
SS116,53.2,,138.05,214.97,48.72,41.09
SS1170,,1.0,105.58,176.32,50.3,28.9
SS1171,49.1,1.0,105.41,,53.57,37.15
SS1172,42.8,1.0,,195.63,,36.08
SS1173,40.7,1.0,107.25,191.05,59.22,37.05
SS1174,41.4,1.0,109.53,193.78,56.48,
SS1175,47.8,1.0,120.54,205.51,57.85,34.11
SS1176,,1.0,122.03,203.04,,35.57
SS1177,44.8,1.0,109.23,191.33,,32.01
SS1178,53.3,1.0,118.5,205.99,60.58,36.47
SS117,55.1,,,210.89,56.15,
SS1180,44.4,1.0,110.61,191.98,55.97,36.11
SS1181,50.0,1.0,119.44,202.59,54.9,35.52
SS1182,,,108.56,186.1,,35.5
SS1183,43.0,1.0,114.43,,54.14,
SS1184,38.6,1.0,,183.9,54.21,32.27
SS1185,53.8,0.0,118.56,209.28,64.83,37.58
SS1186,,0.0,118.43,201.36,54.53,31.8
SS1187,,1.0,,220.35,64.99,34.53
SS1188,40.1,1.0,106.84,188.44,,30.61
SS1189,53.3,1.0,118.12,206.52,57.95,
SS118,56.1,1.0,109.68,185.57,46.88,34.76
SS1190,,1.0,,205.33,69.86,36.92
SS1191,59.2,1.0,118.35,213.39,67.05,42.61
SS1192,,1.0,122.19,200.45,50.01,33.94
SS1193,56.0,1.0,121.84,210.24,62.59,35.99
SS1194,,1.0,119.59,199.9,58.56,36.06
SS1195,52.8,1.0,,199.0,55.03,37.42
SS1196,56.6,1.0,125.5,208.61,52.08,35.85
SS1197,52.9,0.0,121.58,,60.1,32.67
SS1198,45.4,1.0,,193.35,60.91,34.94
SS1199,46.3,1.0,,198.51,59.08,35.01
SS119,,,136.8,230.72,61.21,35.59
SS11,53.6,1.0,,208.0,59.27,41.59
SS1200,48.2,0.0,115.88,196.29,52.61,
SS1201,48.3,,119.61,204.83,56.89,
SS1202,49.0,1.0,130.55,215.42,55.77,35.35
SS1203,47.7,0.0,123.3,200.05,53.16,
SS1204,56.4,1.0,126.27,207.15,59.28,34.58
SS1205,40.2,1.0,,184.16,46.8,32.62
SS1206,43.3,1.0,116.49,198.11,55.83,32.22
SS1207,,,120.38,200.49,52.08,34.59
SS1208,46.1,1.0,119.06,199.27,53.36,34.76
SS1209,48.6,,,199.55,60.33,37.36
SS120,54.6,1.0,115.46,209.79,60.76,31.92
SS1210,45.6,1.0,107.92,,58.28,34.08
SS1211,,1.0,127.03,213.79,59.3,
SS1212,49.3,,119.47,205.3,57.49,32.93
SS1213,47.4,1.0,116.51,211.94,65.95,39.01
SS1214,31.3,1.0,102.63,,46.87,
SS1215,47.3,0.0,114.77,202.47,63.77,34.75
SS1216,43.4,1.0,115.81,195.28,54.63,33.47
SS1217,54.7,0.0,123.27,211.64,57.7,
SS1218,,1.0,113.59,,51.62,29.79
SS1219,53.4,1.0,121.77,,63.03,35.35
SS121,60.2,,134.53,220.31,59.75,34.93
SS1220,35.5,1.0,108.9,186.88,,
SS1221,,1.0,116.67,198.93,56.6,35.63
SS1222,50.4,1.0,116.17,201.38,,
SS1223,53.8,0.0,,,,33.97
SS1224,47.5,,110.37,200.56,62.74,34.53
SS1225,46.0,1.0,111.71,193.91,54.72,32.24
SS1226,49.1,1.0,114.06,198.35,,36.08
SS1227,43.7,1.0,113.54,179.14,45.77,33.23
SS1228,44.8,0.0,115.75,188.27,44.82,33.61
SS1229,43.3,0.0,115.11,,,
SS122,57.5,1.0,122.41,202.83,50.8,34.76
SS1230,32.5,,103.11,,49.35,27.73
SS1231,45.2,,114.93,198.81,55.79,32.93
SS1232,,0.0,,211.89,57.0,34.11
SS1233,56.5,0.0,122.06,211.75,61.48,38.45
SS1234,,,128.79,213.7,56.63,33.87
SS1235,34.8,,103.88,,52.59,
SS1236,49.0,1.0,107.64,204.98,67.4,43.51
SS1237,49.7,0.0,114.3,,58.64,35.82
